item_name,group,subcategory,url,path,description,scrape_status,location,loc_status
Golem Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Golem+Armor,/Golem+Armor,"Body of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo. Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery.",ok_blockquote,[1] - Sold by Domhnall of Zena after defeating Iron Golem.,ok_loc_list
Gough's Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Gough's+Armor,/Gough's+Armor,"Armor of Hawkeye Gough, one of Gwyn's Four Knights. Armor donned by Gough since his days as a dragonslayer. The medallion, bequeathed by the Lord Himself, and the dragon bone pauldrons are symbols of the highest honors.",ok_blockquote,[1] - Dropped by Hawkeye Gough.,ok_loc_list
Guardian Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Guardian+Armor,/Guardian+Armor,"Armor of the stone knights, guardians of the forest sanctuary. The stone knights are golems animated by magic, and their enchanted armor is oppressively heavy.""",ok_blockquote,[1] - Royal Wood. On one of the corpses on the ground. (AotA) Video Location Timestamp at 11:05.,ok_loc_list
Hard Leather Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Hard+Leather+Armor,/Hard+Leather+Armor,"""Armor made of thick leather. Very common type of protective gear, they provide a sound level of defense.""",ok_blockquote,[1] - Warrior (Starting Class). [2] - Depths: in the room where you fight Gaping Dragon.,ok_loc_list
Havel's Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Havel's+Armor,/Havel's+Armor,"Armor worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides. Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.",ok_blockquote,[1] - Anor Londo. In a room with a fireplace. Hit the fireplace to reveal an illusory wall.,ok_loc_list
Hollow Soldier Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Hollow+Soldier+Armor,/Hollow+Soldier+Armor,"""Armor worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy.""",ok_blockquote,"[1] - Drops from Undead Soldier (1% Chance - Undead Burg, Undead Parish, Northern Undead Asylum (Revisit), Firelink Shrine).",ok_loc_list
Hollow Thief's Leather Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Hollow+Thief's+Leather+Armor,/Hollow+Thief's+Leather+Armor,"""Leather armor worn by Hollow thieves. It stifles noise and helps its wear hide in the shadows.""",ok_p_tag,[1] - Drops from Undead Assassin also known as Hollow Thief (1% chance - Lower Undead Burg).,ok_loc_list
Hollow Warrior Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Hollow+Warrior+Armor,/Hollow+Warrior+Armor,"""Armor worn by Hollow warriors. It is made of thick leather that is tattered with age.""",ok_blockquote,[1] - Dropped by Armored Zombie.,ok_loc_list
Holy Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Holy+Robe,/Holy+Robe,"""Robe donned by men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm. Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White.""",ok_blockquote,"[1] - Cleric (Starting Class). [2] - The Catacombs: on a cliff in the bonewheel skeleton room. To access the cliff, jump down from the second rotating bridge above.",ok_loc_list
Knight Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Knight+Armor,/Knight+Armor,"""Armor equipment of a lower a rank knight. Despite the thin metal used, the grooved texture gives them added protection.""",ok_blockquote,[1] - Knight (Starting Class). [2] - Darkroot Basin: shallow water near the Hydra.,ok_loc_list
Leather Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Leather+Armor,/Leather+Armor,"""Made of soft leather. Very common type of protective gear.""",ok_blockquote,[1] - Hunter (Starting Class). [2] - Darkroot Basin. Near the entrance on a cliff.,ok_loc_list
Lord's Blade Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Lord's+Blade+Robe,/Lord's+Blade+Robe,"""Robe of the Lord's Blade Ciaran, one of Gwyn's Four Knights. A robe common to all of the Lord's Blades, These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets.""",ok_blockquote,[1] - By killing Ciaran in the same place you fought Artorias.,ok_loc_list
Maiden Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Maiden+Robe,/Maiden+Robe,"""White robe worn by traveling maidens. It is part of their formal attire, regardless of rank. It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle.""",ok_blockquote,[1] - Duke's Archives. In one of the cells.,ok_loc_list
Moonlight Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Moonlight+Robe,/Moonlight+Robe,"""Robe of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo. The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin and hardly provides any physical defense.""",ok_blockquote,[1] - Sold by Domhnall of Zena after killing Dark Sun Gwyndolin.,ok_loc_list
Ornstein's Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Ornstein's+Armor,/Ornstein's+Armor,"""Armor of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo. Ornstein is believed to be the captain of the Four Knights. His golden lion armor is imbued with the power of lightning and should provide good protection against it.""",ok_blockquote,"[1] - Sold by Domhnall of Zena for 8,000 souls. [2] - You need to defeat Dragon Slayer Ornstein second.",ok_loc_list
Painting Guardian Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Painting+Guardian+Robe,/Painting+Guardian+Robe,"""Robe worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic. They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago.""",ok_blockquote,[1] - Painted World of Ariamis.,ok_loc_list
Paladin Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Paladin+Armor,/Paladin+Armor,"Armor of Leeroy, Paladin of the Catacombs. Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",ok_blockquote,[1] - Tomb of the Giants. Gravelord Nito's chamber after defeating black phantom Paladin Leeroy.,ok_loc_list
Robe of the Channelers,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Robe+of+the+Channelers,/Robe+of+the+Channelers,"""Robe of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers"" as they were often called, ventured to far lands to find suitable human specimens. The heaviest of protective gear for sorcerers, and imbued with magic.""",ok_blockquote,[1] - Found in a chest near the end of The Duke's Archives.,ok_loc_list
Robe of the Great Lord,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Robe+of+the+Great+Lord,/Robe+of+the+Great+Lord,"""Robe of Gwyn, Lord of Cinder, who linked the First Flame. Lord Gwyn, bearer of the ultimate soul,divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.""",ok_blockquote,"[1] - Sold by Domhnall of Zena for 20,000 souls after proceeding to NG+.",ok_loc_list
Sage Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Sage+Robe,/Sage+Robe,"""Robe worn by Big Hat Logan. It is said to have been from his apprentice days at Dragon School, but it is so worn out, no one knows what it originally looked like. Logan, who cared little for his appearance, no doubt ever bothered to change out of it.""",ok_blockquote,[1] - In a chest in Duke's Archives after Logan turnes hostile.,ok_loc_list
Shadow Garb,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Shadow+Garb,/Shadow+Garb,"""Black cloth garb worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts. White it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.""",ok_blockquote,[1] - Found in Blighttown past first group of Infested Ghouls.,ok_loc_list
Silver Knight Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Silver+Knight+Armor,/Silver+Knight+Armor,"Armor of the Silver Knights who protect Anor Londo. When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess.",ok_blockquote,[1] - Anor Londo. In a chest guarded by two Silver Knights.,ok_loc_list
Smough's Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Smough's+Armor,/Smough's+Armor,"Armor of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",ok_blockquote,[1] - Sold by Domhnall of Zena. You need to defeat Smough second in order to make him sell this armor.,ok_loc_list
Sorcerer Cloak,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Sorcerer+Cloak,/Sorcerer+Cloak,"""Cloak worn by proper sorcerers who studied at Vinheim Dragon School. The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.""",ok_blockquote,[1] - Sorcerer (Starting Class). [2] - Lower Undead Burg: In the same room as Griggs trapped in.,ok_loc_list
Steel Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Steel+Armor,/Steel+Armor,"Armor of the Knights of Berenike, known for their heavy armaments and armor. Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.""",ok_blockquote,"[1] - Dropped by The Berenike Knights. [2] - Sold by Crestfallen Merchant for 8,000 souls.",ok_loc_list
Stone Armor,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Stone+Armor,/Stone+Armor,"""Moss-covered armor of the Stone Knight, defender of the Darkroot Garden. The Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy.""",ok_blockquote,"[1] - Darkroot Garden, on the cliff behind a stone structure where Alvina is.",ok_loc_list
Tattered Cloth Robe,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Tattered+Cloth+Robe,/Tattered+Cloth+Robe,"""Robe worn by the pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong. Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven.""",ok_blockquote,[1] - Pyromancer (Starting Class). [2] - Blighttown: From the bonfire in Blighttown run straight past the first flying bug slightly to your left out in the distance. Circle around to the left of the pillar then look right; the armor and the spell poison mist are on the body in the coroner.,ok_loc_list
Wanderer Coat,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Wanderer+Coat,/Wanderer+Coat,"""Coat of an aimless traveler. Made from sturdy leather and quilting. Battle comes with the territory when one wanders the land, and this coat provides a certain degree of protection..""",ok_blockquote,[1] - Wanderer (Starting Class). [2] - Blighttown.,ok_loc_list
Witch Cloak,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Witch+Cloak,/Witch+Cloak,"""Cloak of the rogue witch Beatrice. Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.""",ok_blockquote,[1] - At Valley of Drakes area along with Beatrice's Catalyst. Go where the cave entrance to Blighttown is; the corpse is located at a ledge on at the opposite side of the cave entrance.Available after defeating The Four Kings.,ok_loc_list
Xanthous Overcoat,ARMOR,Chest Armor,https://darksouls.wiki.fextralife.com/Xanthous+Overcoat,/Xanthous+Overcoat,"""A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from. It may be tattered, but its bright yellow color still stings the eyes.""",ok_blockquote,"[1] - On a corpse behind Crossbreed Priscilla after defeating Dark Spirit Xanthous King, Jeremiah.",ok_loc_list
Antiquated Gloves,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Antiquated+Gloves,/Antiquated+Gloves,"Gloves from the ancient fallen land of Oolacile. Their ivory-colored silk features elaborate embroidery and are imbued with ancient magic power. One cannot expect any physical protection from these, as they were not meant to be worn in battle.",ok_blockquote,"[1] - Found in Darkroot Basin, after saving Dusk of Oolacile. Kill the Golden Crystal Golem in the back of the Darkroot Basin cave (far behind the Hydra), go back to where the corpse was in front of the Hydra, and summon her (you DO NOT have to be in human form), then return to where you found the golem. You will find the set there.",ok_loc_list
Balder Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Balder+Gauntlets,/Balder+Gauntlets,"""Gauntlets worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates. Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.""",ok_p_tag,"[1] - Sold by Crestfallen Merchant for 5,000 souls. [2] - Drops from random Balder Knight (1% chance - Sen's Fortress and Undead Parish).",ok_loc_list
Black Iron Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Black+Iron+Gauntlets,/Black+Iron+Gauntlets,"""Gauntlets of Black Iron Tarkus, a knight known for his great strength. Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.""",ok_p_tag,[1] - Anor Londo. To the left of the giant painting leading to the Painted World of Ariamis.,ok_loc_list
Black Knight Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Black+Knight+Gauntlets,/Black+Knight+Gauntlets,"""Gauntlets of the Black Knights who haunt Lordran. The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.""",ok_p_tag,[1] - Kiln of the First Flame. Corpse on a ledge near the third black knight.,ok_loc_list
Black Leather Gloves,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Black+Leather+Gloves,/Black+Leather+Gloves,"""This armor is made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows. The leather itself is thick, offering a decent level of protection.""",ok_blockquote,[1] - Thief (Starting Class). [2] - Lower Undead Burg: in a room of one of the second set of hollow thieves.,ok_loc_list
Black Manchette,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Black+Manchette,/Black+Manchette,"Manchette worn by pardoners serving Velka, the Goddess of Sin. The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic",ok_blockquote,"[1] - Painted World of Ariamis, behind the locked annex door.",ok_loc_list
Black Sorcerer Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Black+Sorcerer+Gauntlets,/Black+Sorcerer+Gauntlets,"Gauntlets worn by the secret sorcerers at Vinheim Dragon School. They secretly work with sound-based spells, and never reveal themselves.",ok_blockquote,[1] - Sen's Fortress.,ok_loc_list
Bracelet of the Great Lord,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Bracelet+of+the+Great+Lord,/Bracelet+of+the+Great+Lord,"Bracelet of Gwyn, Lord of Cinder, who linked the First Flame. Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.",ok_blockquote,"[1] - Sold by Domhnall of Zena for 20,000 souls after proceeding to NG+.",ok_loc_list
Brass Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Brass+Gauntlets,/Brass+Gauntlets,"""Gauntlets of the Darkmoon Knightess, Fire Keeper of Anor Londo. After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received these gauntlets, which hide her hideous form and help her hunt the guilty.""",ok_p_tag,"[1] - Darkmoon Tomb, after defeating Dark Sun Gwyndolin.",ok_loc_list
Brigand Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Brigand+Gauntlets,/Brigand+Gauntlets,"""Worn by the brigands who raid mountain hamlets and attack travelers. The addition of metal over a base of cloth and leather offers good mobility and defense""",ok_blockquote,[1] - Bandit (Starting Class). [2] - Valley of Drakes.,ok_loc_list
Catarina Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Catarina+Gauntlets,/Catarina+Gauntlets,"""Distinctively shaped gauntlets worn by the Knights of Catarina. Outside of Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.""",ok_p_tag,"[1] - Sold by Crestfallen Merchant for 7,000 souls.",ok_loc_list
Chester's Gloves,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Chester's+Gloves,/Chester's+Gloves,"Leather gloves worn by Marvellous Chester, a man of mystery lost in the past. These gloves have no distinguishing features, but are of extremely high quality.",ok_blockquote,[1] - Killing Marvellous Chester in human form.,ok_loc_list
Crimson Gloves,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Crimson+Gloves,/Crimson+Gloves,"""Gloves of the sorcerers who flooded New Londo to seal away the Dark wraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that.""",ok_blockquote,"[1] - Blighttown, near the entrance from Valley of Drakes.",ok_loc_list
Crystalline Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Crystalline+Gauntlets,/Crystalline+Gauntlets,"""Gauntlets worn by a Hollowed knight, who was partially crystallized. The crystal provides strong defense, but they cannot be used for long because they are easily broken and cannot be repaired.""",ok_p_tag,[1] - The Duke's Archives. Outside in the area with Crystal Golems.,ok_loc_list
Dark Gauntlets,ARMOR,Gauntlets,https://darksouls.wiki.fextralife.com/Dark+Gauntlets,/Dark+Gauntlets,"""Gauntlets of the Darkwraiths, former knights of New Londo who descended into Dark. Their gauntlets transformed, and remain symbol of the Dark servants and their diabolical art of Lifedrain.""",ok_p_tag,[1] - Obtained by getting Rank 2 in the Darkwraith Covenant.,ok_loc_list
